Código;Control Group;Treated Group;Intervention Target;Control Freezing %;Treated Freezing %;Control SEM;Treated SEM;Control Sample Size;Treated Sample Size;Control SD;Treated SD;Significant;p Value;Pooled SD;Effect Size (in Cohen's D);Effect Size (in %);Result Description;Descriptor Term;Graph Code;Protocol Code;Power (upper-bound ES);Power (intermediate);Power (lower-bound ES);Normalized Effect Size;Weighted Mean (Control+Treated);Pooled Coefficient of Variation;Contextual Baseline Freezing (Control);Contextual Baseline Freezing  (Treated);Contextual Baseline SEM (Control);Contextual Baseline SEM (Treated);Tone Baseline (Control);Tone Baseline (Treated);Tone Baseline SEM (Control);Tone Baseline SEM (Treated);Description Score;ES_Absolute Difference;Power_upper_AbsES;Power_lower_AbsES;Power_interm_AbsES;Power_d02;Power_d05;Power_d08
13;NTg 10 meses;Tg 10 meses;rTg4510 (expressa ptn tau humana com mutação P301L);52,76;2,87;5,48;1,56;14;16;20,50428248;6,24;WAHR;<0.001;14,69887848;-3,394136503;-94,56027293;rTg4510 mice displayed a decrease in the amount of time freezing when returned to the same environment in which they previously received a mild electrical shock;decrease;6;3;0,99408918;0,954637345;0,825709428;94,56027293;26,152;0,562055616;;;;;;;;;0,57;-49,89;0,989764274;0,768443673;0,88785647;0,08485747;0,276795249;0,589436499
14;NTg 2 meses;Tg 2 meses;rTg4510 (expressa ptn tau humana com mutação P301L);64,81;63;2,59;2,59;24;24;12,68835687;12,68835687;FALSCH;NS;12,68835687;-0,142650464;-2,792778892;essa comparação não é mencionada no texto;-;7;11;1;0,99999815;0,99945626;2,792778892;63,905;0,198550299;;;;;;;;;;-1,81;0,999992272;0,977033682;0,996565388;0,106543506;0,409968112;0,791409379
15;NTg 6 meses;Tg 6 meses;rTg4510 (expressa ptn tau humana com mutação P301L);52,11;27,74;6,48;5,44;26;21;33,04164645;24,92921178;WAHR;<0.001;29,71085548;-0,82023892;-46,76645557;rTg4510 mice exhibited a decrease in the amount of time freezing in response to an auditory tone;decrease;7;11;0,779047792;0,604752935;0,423156546;46,76645557;41,2212766;0,72076505;;;;;;;;;0,57;-24,37;0,751655297;0,383113023;0,499813994;0,104699078;0,399185828;0,778382185
16;NTg 10 meses;Tg 10 meses;rTg4510 (expressa ptn tau humana com mutação P301L);32,92;1,55;3,63;0,77;14;16;13,58221631;3,08;WAHR;<0.001;9,525326766;-3,293325339;-95,29161604;rTg4510 mice exhibited a decrease in the amount of time freezing in response to an auditory tone;decrease;7;11;0,990640909;0,940138221;0,796650297;95,29161604;16,18933333;0,588370538;;;;;;;;;0,57;-31,37;0,999998265;0,985981443;0,998357652;0,08485747;0,276795249;0,589436499
17;GFP;CREB;CREB overexpression;26,63;44,54;5,25;4,56;12;10;18,18653348;14,41998613;WAHR;=0,006;16,59770165;1,079065065;67,25497559;mice microinjected with CREB vector froze significantly more than mice with GFP or CREBS133A vector, which did not differ from each other;significantly more;8;12;0,816223949;0,645567605;0,456829366;40,21104625;34,77090909;0,477344484;;;;;;;;;0,71;17,91;0,899343752;0,531497137;0,67126748;0,075347113;0,214998359;0,463585727
18;GFP;CREB S133A;CREB dominante-negativo;26,63;24,35;5,25;3,42;12;11;18,18653348;11,34285678;FALSCH;=0,83;15,31394323;-0,148883927;-8,561772437;mice microinjected with CREB vector froze significantly more than mice with GFP or CREBS133A vector, which did not differ from each other;did not differ;8;12;0,476835868;0,341491148;0,233600153;8,561772437;25,53956522;0,599616442;;;;;;;;;0,14;-2,28;0,949458191;0,620510271;0,761756625;0,076687438;0,22378312;0,482726232
22;Spir-1 +/+ machos;Spir-1 gt/gt machos;k.o. para spir-1;49,66;72,76;4,83;4,83;9;4;14,49;9,66;WAHR;=0.011;13,34720808;1,730699024;46,51631091;when re-exposed to both context and cue, only spir-1 mutant male mice showed a significant increase in fear memory;significant increase;10;14;0,985415753;0,921813634;0,764169652;31,7482133;56,76769231;0,235119793;;;;;;;;;1,07;23,1;0,818291912;0,43913104;0,567332871;0,062783492;0,132297238;0,265276863
23;Spir-1 +/+ fêmeas;Spir-1 gt/gt fêmeas;k.o. para spir-1;57,32;64,44;5,5;5,15;5;8;12,29837388;14,56639969;FALSCH;NS;13,78490611;0,516506964;12,42149337;essa comparação não é mencionada no texto;-;10;80;0,962731521;0,862774654;0,67807089;11,04903786;61,70153846;0,223412681;;;;;;;;;;7,12;0,833487408;0,453847815;0,584529718;0,064215087;0,141701906;0,289261208
24;Spir-1 +/+ machos;Spir-1 gt/gt machos;k.o. para spir-1;15,52;40,69;4,83;7,24;9;4;14,49;14,48;WAHR;=0.013;14,48727341;1,737386966;162,1778351;when re-exposed to both context and cue, only spir-1 mutant male mice showed a significant increase in fear memory;significant increase;11;15;0,568961665;0,413095438;0,281614641;61,85795036;23,26461538;0,622717082;;;;;;;;;1,07;25,17;0,75273383;0,383931633;0,500823347;0,062783492;0,132297238;0,265276863
25;Spir-1 +/+ fêmeas;Spir-1 gt/gt fêmeas;k.o. para spir-1;11,24;32,35;3,091;8,59;5;8;6,911686118;24,296189;FALSCH;=0.098;19,82473024;1,064831639;187,8113879;essa comparação não é mencionada no texto;-;11;81;0,25732773;0,186820037;0,135061232;65,25502318;24,23076923;0,81816347;;;;;;;;;;21,11;0,530318124;0,249519998;0,32708129;0,064215087;0,141701906;0,289261208
26;H2O Adolescent;EtOH Adolescent;EtOH Adolescent Exposure;63,65;47,31;4,64;4,64;10;10;14,67296834;14,67296834;WAHR;<0.05;14,67296834;-1,113612435;-25,67164179;adolescent EtOH-exposed animals showed significantly less freezing to the context at test after context conditioning than their H20-exposed counterparts and both adult exposure groups;significantly less;12;16;0,993206897;0,950660692;0,817367167;25,67164179;55,48;0,264473114;;;;;;;;;0,79;-16,34;0,939021982;0,598033556;0,739864667;0,073209713;0,200955551;0,432157628
27;H2O Adult;EtOH Adult;EtOH Adult Exposure;63,31;65,89;3,09;3,44;10;10;9,77143797;10,87823515;FALSCH;NS;10,33965667;0,249524726;4,075185595;adolescent EtOH-exposed animals showed significantly less freezing to the context at test after context conditioning than their H20-exposed counterparts and both adult exposure groups;not significant;12;16;0,999997252;0,99958875;0,98775413;3,915616937;64,6;0,160056605;;;;;;;;;0,71;2,58;0,998720218;0,879735116;0,958521414;0,073209713;0,200955551;0,432157628
28;0 mg/kg/d BPA;0,4 mg/kg/d BPA;bisphenol-A exposure;24,38;17,71;2,83;6,44;10;10;8,949245778;20,36506813;FALSCH;NS;15,72935154;-0,424047996;-27,35849057;essa comparação não é mencionada no texto;-;13;17;0,352984224;0,25212212;0,17601995;27,35849057;21,045;0,747415136;2,83;3,35;0,51;0,77;;;;;;-6,67;0,905090336;0,539824837;0,680153022;0,073209713;0,200955551;0,432157628
29;0 mg/kg/d BPA;4 mg/kg/d BPA;bisphenol-A exposure;24,38;49,7;2,83;6,44;10;10;8,949245778;20,36506813;WAHR;<0.05;15,72935154;1,609729424;103,8556194;freezing time was significantly extended, sugesting enhanced acquisition;enhanced;13;17;0,897126304;0,748715769;0,550605385;50,94567404;37,04;0,424658519;2,83;2,32;0,51;0,51;;;;;1,14;25,32;0,905090336;0,539824837;0,680153022;0,073209713;0,200955551;0,432157628
30;0 mg/kg/d BPA;40 mg/kg/d BPA;bisphenol-A exposure;24,38;84;2,83;11,08;10;10;8,949245778;35,03803647;WAHR;<0.01;25,57100898;2,331546638;244,5447088;freezing time was significantly extended, sugesting enhanced acquisition;enhanced;13;17;0,91822321;0,780753073;0,58313438;70,97619048;54,19;0,471876896;2,83;3,35;0,51;0,51;;;;;1,14;59,62;0,520833209;0,244817914;0,320742695;0,073209713;0,200955551;0,432157628
32;WT;Tg;k.o. para SARM-1;40,13;30,01;3,68;1,7;26;26;18,76439181;8,668333173;WAHR;=0.011;14,61578599;-0,692402038;-25,21804137;displayed reduced levels of freezing in response to the environmental cues / These results suggest that the Sarm1 knockdown mice were impaired in hippocampus-dependent contextual memory;impaired / impairment;14;18;0,994754543;0,957796222;0,832573969;25,21804137;35,07;0,416760365;8,51;7,94;2,83;1,7;;;;;0,93;-10,12;0,999898938;0,946796715;0,987885594;0,111369148;0,437632237;0,822381634
33;WT;Tg;k.o. para SARM-1;53,44;36,7;5,36;5,65;13;11;19,32575484;18,73893007;WAHR;=0.043;19,06125604;-0,878221244;-31,3248503;had lower freezing responses / suggesting an impairment in cued fear conditioning;impaired / impairment;15;19;0,877805808;0,721692006;0,524594163;31,3248503;45,7675;0,416480167;4,22;6,47;1,41;1,41;;;;;0,93;-16,74;0,838100419;0,458499555;0,589916788;0,077720929;0,230543296;0,497177982
35;vehicle;RG108;DNA methyltransferase inhibitors;88,94;86,67;1,83;3,67;6;6;4,482566229;8,989627356;FALSCH;NS;7,10305568;-0,319580769;-2,552282438;no significant difference in freezing between groups;no significant difference;17;26;1;1;0,999995637;2,552282438;87,805;0,0808958;;;;;;;;;0,64;-2,27;0,999869354;0,942182591;0,986270269;0,063856988;0,1393477;0,283285026
36;vehicle;5-AZA;DNA methyltransferase inhibitors;88,94;88,69;1,83;1,63;6;6;4,482566229;3,992668281;FALSCH;NS;4,244690801;-0,058897105;-0,281088374;no significant difference in freezing between groups;no significant difference;17;26;1;1;1;0,281088374;88,815;0,047792499;;;;;;;;;0,64;-0,25;1;0,999961362;0,999999727;0,063856988;0,1393477;0,283285026
39;vehicle;anisomycin;protein translation inhibitor;83,4;71,78;4,14;7,05;10;7;13,09182951;18,65254674;FALSCH;0.094;15,55649704;-0,746954792;-13,93285372;essa comparação não é mencionada no texto;-;19;28;0,998677252;0,981699759;0,895009546;13,93285372;78,61529412;0,197881306;2,09;0,95;0,38;0;;;;;;-11,62;0,851172532;0,472203689;0,60564951;0,06907288;0,173703395;0,368376937
40;vehicle;β-lac (clasto-lactacystin- β-lactone);proteasome inhibitor;83,4;75,1;4,14;4,14;10;10;13,09182951;13,09182951;FALSCH;0.094;13,09182951;-0,633983202;-9,952038369;essa comparação não é mencionada no texto;-;19;28;0,999997223;0,999586067;0,987708565;9,952038369;79,25;0,165196587;2,09;0,95;0,38;0;;;;;;-8,3;0,975587406;0,696696563;0,830787182;0,073209713;0,200955551;0,432157628
41;vehicle;anisomycin;protein translation inhibitor;71,78;46,05;7,05;8,29;9;10;21,15;26,2152818;WAHR;0.032;23,96535367;-1,073633227;-35,84563945;The drug-treated groups were collapsed and a planned comparison between the collapsed drug groups and the vehicle group revealed a significant reduction in CS freezing for drug-treated animals trained with TFC but not DFC;significant reduction;20;30;0,845148466;0,679743357;0,48635948;35,84563945;58,23789474;0,411507898;1,16;1,36;0,58;0,39;;;;;1,21;-25,73;0,551625229;0,260299636;0,341554249;0,071974211;0,192823661;0,41350208
42;vehicle;β-lac (clasto-lactacystin- β-lactone);proteasome inhibitor;71,78;52,69;7,05;8,71;9;11;21,15;28,88780192;WAHR;0.032;25,73759788;-0,741716461;-26,59515185;The drug-treated groups were collapsed and a planned comparison between the collapsed drug groups and the vehicle group revealed a significant reduction in CS freezing for drug-treated animals trained with TFC but not DFC;significant reduction;20;30;0,808558644;0,636892055;0,44953563;26,59515185;61,2805;0,419996538;1,16;1,36;0,58;0,39;;;;;1,21;-19,09;0,511651295;0,240319546;0,314664615;0,072974857;0,19941046;0,42863838
43;vehicle;anisomycin;protein translation inhibitor;59,39;31,49;9,66;10,22;10;7;30,5476022;27,0395784;WAHR;0.027;29,19501875;-0,955642476;-46,97760566;Planned comparisons revealed significantly lower context freezing in the drug-treated groups compared to the vehicle infusedgroup for animals trained with delay but not trace fear conditioning;significantly lower;21;29;0,469937929;0,336329474;0,230211369;46,97760566;47,90176471;0,609476894;2,09;0,95;0,38;0;;;;;0,79;-27,9;0,359364684;0,171839466;0,220639145;0,06907288;0,173703395;0,368376937
44;vehicle;β-lac (clasto-lactacystin- β-lactone);proteasome inhibitor;59,39;38,67;9,66;9,66;10;10;30,5476022;30,5476022;WAHR;0.027;30,5476022;-0,678285643;-34,88802829;Planned comparisons revealed significantly lower context freezing in the drug-treated groups compared to the vehicle infusedgroup for animals trained with delay but not trace fear conditioning;significantly lower;21;29;0,50984728;0,366552114;0,250183324;34,88802829;49,03;0,623039001;2,09;0,95;0,38;0;;;;;0,79;-20,72;0,391544665;0,1855067;0,239602947;0,073209713;0,200955551;0,432157628
45;vehicle;anisomycin;protein translation inhibitor;50,65;58,06;13,01;7,75;9;10;39,03;24,50765187;FALSCH;0.849;32,16899512;0,23034602;14,62981244;essa comparação não é mencionada no texto;-;22;31;0,433858764;0,309718928;0,212874727;12,76265932;54,55;0,589715768;1,16;1,36;0,58;0,39;;;;;;7,41;0,343620056;0,165274581;0,211501709;0,071974211;0,192823661;0,41350208
46;vehicle;β-lac (clasto-lactacystin- β-lactone);proteasome inhibitor;50,65;47,73;13,01;9,69;9;11;39,03;32,13809422;FALSCH;0.849;35,36735642;-0,082562009;-5,765054294;essa comparação não é mencionada no texto;-;22;31;0,306943658;0,220373977;0,156020435;5,765054294;49,044;0,721135234;1,16;1,36;0,58;0,39;;;;;;-2,92;0,304488738;0,149260822;0,189145846;0,072974857;0,19941046;0,42863838
48;YFP;TET1;virus to overexpress enzyme methylcytosine dioxygenase;40,47;28,09;7,14;5,95;9;9;21,42;17,85;FALSCH;NS;19,71596942;-0,627917387;-30,59056091;all groups exhibited similar levels of freezing behavior;similar levels;24;33;0,511123671;0,367533592;0,250837354;30,59056091;34,28;0,575144965;0,46;0,73;0,11;0,41;;;;;0;-12,38;0,696998576;0,34445364;0,451420307;0,070863494;0,1855067;0,396438439
49;YFP;TET1m;virus to express catalytically inactive version;40,47;37,85;7,14;4,04;9;9;21,42;12,12;FALSCH;NS;17,40274116;-0,150550995;-6,473931307;all groups exhibited similar levels of freezing behavior;similar levels;24;33;0,614871611;0,450983225;0,307896931;6,473931307;39,16;0,444400949;0,46;0,35;0,11;0,14;;;;;0;-2,62;0,800905723;0,423304756;0,548583165;0,070863494;0,1855067;0,396438439
50;YFP;TET1;virus to overexpress enzyme methylcytosine dioxygenase;42,65;32,45;4,76;3,33;17;21;19,62598278;15,25997706;WAHR;<0.01;17,33670256;-0,588347177;-23,91559203;they similarly disrupted the formation of long-term memory formation after context fear conditioning;disrupted;25;34;0,930860783;0,801595308;0,605461434;23,91559203;37,01315789;0,468392959;0,46;0,73;0,11;0,41;;;;;1,5;-10,2;0,982490716;0,726359406;0,85536777;0,094039947;0,334775163;0,688681788
51;YFP;TET1m;virus to express catalytically inactive version;42,65;28,29;4,76;3,33;17;21;19,62598278;15,25997706;WAHR;<0.05;17,33670256;-0,828300535;-33,66940211;they similarly disrupted the formation of long-term memory formation after context fear conditioning;disrupted;25;34;0,930860783;0,801595308;0,605461434;33,66940211;34,71421053;0,499412266;0,46;0,35;0,11;0,14;;;;;1,5;-14,36;0,982490716;0,726359406;0,85536777;0,094039947;0,334775163;0,688681788
52;vehicle;rapamycin;mTOR kinase inhibitor;36,94;21,68;5,27;5,27;11;11;17,47861265;17,47861265;WAHR;0.045;17,47861265;-0,873067005;-41,31023281;Follow up t-test revealed that RAP-treated animals exhibited significantly less freezing than VEH-treated animals;significantly less;26;35;0,618936935;0,454422069;0,310316724;41,31023281;29,31;0,596336153;;;;;;;;;0,79;-15,26;0,870218289;0,493761889;0,62997525;0,075561084;0,216401986;0,46667114
53;vehicle;rapamycin;mTOR kinase inhibitor;30,48;29,71;5,01;6,36;10;12;15,84301108;22,03168627;FALSCH;0.958;19,49148045;-0,039504439;-2,526246719;In follow up t-tests, memory in both groups were comparable when tested 1-h following training;were comparable;27;36;0,384998216;0,274615121;0,190314856;2,526246719;30,06;0,648419177;;;;;;;;;0;-0,77;0,787312515;0,411584719;0,53453045;0,075347113;0,214998359;0,463585727
54;vehicle;rapamycin;mTOR kinase inhibitor;45,33;20,06;9,45;7,33;10;12;29,88352389;25,39186484;WAHR;0.038;27,50403589;-0,918774252;-55,74674608;However, while short-term memory was spared, long-term memory was significantly decreased in RAP-treated animals relative to controls;were significantly decreased;28;35;0,419741792;0,299472608;0,206255493;55,74674608;31,54636364;0,871860738;;;;;;;;;1,14;-25,27;0,497621124;0,233543067;0,305482958;0,075347113;0,214998359;0,463585727
55;vehicle;rapamycin;mTOR kinase inhibitor;29,68;32,81;3,43;6,25;12;12;11,88186854;21,65063509;FALSCH;0.529;17,46322994;0,179233739;10,5458221;essa comparação não é mencionada no texto;-;29;37;0,556050225;0,402729654;0,274537611;9,539774459;31,245;0,558912784;;;;;;;;;;3,13;0,897520145;0,52892433;0,668505477;0,077917485;0,231827529;0,499895874
56;vehicle;anisomysin;protein synthesis inhibitor;29,68;3,59;3,43;1,71;12;12;11,88186854;5,923613762;WAHR;<0.0001;9,387971027;-2,779088253;-87,90431267;Post hoc Fisher’s LSD tests revealed that auditory fear memory was significantly effaced in ANISO-treated animals relative to all other groups;significantly effaced;29;37;0,942393936;0,822034397;0,628413746;87,90431267;16,635;0,564350528;;;;;;;;;0,79;-26,09;0,999973699;0,965676542;0,993728962;0,077917485;0,231827529;0,499895874
57;vehicle;rapamycin 3h post-training;mTOR kinase inhibitor;26,36;21,73;6,3;3,47;12;12;21,82384018;12,0204326;FALSCH;0.526;17,61775809;-0,262803018;-17,56449165;essa comparação não é mencionada no texto;-;30;88;0,38723247;0,276199059;0,191325921;17,56449165;24,045;0,732699442;;;;;;;;;;-4,63;0,892371358;0,521829415;0,660847917;0,077917485;0,231827529;0,499895874
60;vehicle;CIQ 3ug;GluN2C/GluN2D-selective potentiator;28,43;30,18;3,19;2,85;8;7;9,022682528;7,540391237;FALSCH;NS;8,37122636;0,209049418;6,155469574;"the level of fear
in CIQ -3 mice was similar to the vehicle group";similar;33;41;0,888763695;0,736782186;0,538971534;5,798542081;29,24666667;0,286228392;;;;;7,26;3,83;3,56;2,05;0;1,75;0,999597444;0,91689872;0,976277907;0,067276248;0,161858992;0,339585243
61;vehicle;CIQ 10ug;GluN2C/GluN2D-selective potentiator;28,43;44,7;3,19;5,02;8;8;9,022682528;14,19870417;WAHR;<0.05;11,89562945;1,367729221;57,22827999;CIQ-10 and CIQ-30 mice showed higher levels of conditioned freezing when compared with the vehicle group;higher levels;33;41;0,929327462;0,798987449;0,602611578;36,39821029;36,565;0,325328304;;;;;7,26;2,32;3,56;0;0,79;16,27;0,971848553;0,683048421;0,819031797;0,068522551;0,170075046;0,359622486
62;vehicle;CIQ 30ug;GluN2C/GluN2D-selective potentiator;28,43;43,59;3,19;5,25;8;8;9,022682528;14,8492424;WAHR;<0.05;12,28635015;1,233889627;53,32395357;CIQ-10 and CIQ-30 mice showed higher levels of conditioned freezing when compared with the vehicle group;higher levels;33;41;0,899589176;0,752305915;0,554153713;34,77861895;36,01;0,341192728;;;;;7,26;7,94;3,56;3,42;0,79;15,16;0,962922528;0,65496956;0,793994823;0,068522551;0,170075046;0,359622486
63;WT;OX1R-/-;Orexin Receptor-1 KO;43,33;27,11;4,44;4;15;16;17,19604606;16;WAHR;0.0088;16,58817194;-0,977805153;-37,43364874;mice also showed a significantly shorter freezing time in the periods of both presence and absence of CS compared with wild-type mice;significantly shorter;34;42;0,912748888;0,772141405;0,574191023;37,43364874;34,9583871;0,474511936;;;;;;;;;0,71;-16,22;0,971259882;0,681017614;0,817259174;0,086164452;0,285166162;0,604887941
64;WT;OX2R-/-;Orexin Receptor-2 KO;43,33;42,88;4,44;6,22;15;15;17,19604606;24,08995641;FALSCH;NS;20,9288079;-0,021501464;-1,038541426;essa comparação não é mencionada no texto;-;34;42;0,735112732;0,560010718;0,387931369;1,038541426;43,105;0,485530864;;;;;;;;;;-0,45;0,853366577;0,474585218;0,608362402;0,085015664;0,277810304;0,591330511
65;WT;OX1R-/-;Orexin Receptor-1 KO;59,76;35,28;5,71;6,85;19;17;24,88931297;28,24327354;WAHR;0.01;26,5205371;-0,923058229;-40,96385542;While Ox1r /  mice showed decreased freezing behavior in both the cued and contextual fearconditioning tests, Ox2r /  mice showed impairment only in the contextual fear-conditioning test;decreased / impairment;35;43;0,868905282;0,709842549;0,513547652;40,96385542;48,2;0,550218612;;;;;;;;;0,57;-24,48;0,738560064;0,373361815;0,487740775;0,092022251;0,322212516;0,668707756
66;WT;OX2R-/-;Orexin Receptor-2 KO;59,76;33,66;5,71;5,71;19;15;24,88931297;22,11473491;WAHR;0.01;23,71541113;-1,100550181;-43,6746988;While Ox1r /  mice showed decreased freezing behavior in both the cued and contextual fearconditioning tests, Ox2r /  mice showed impairment only in the contextual fear-conditioning test;decreased / impairment;35;43;0,914733359;0,775236726;0,577387706;43,6746988;48,24529412;0,491559054;;;;;;;;;0,57;-26,1;0,802101237;0,424361667;0,549843472;0,089210404;0,304530989;0,639171409
67;WT;KO+ChR2;(virus control) KO+ChR2 in locus coeruleus;43,28;31,22;4,65;6,2;7;7;12,3027436;16,40365813;FALSCH;NS;14,49892237;-0,831785955;-27,8650647;essa comparação não é mencionada no texto;-;36;42;0,722195909;0,547449114;0,378320523;27,8650647;37,25;0,389232815;;;;;;;;;;-12,06;0,843529467;0,464093913;0,596364217;0,066187007;0,154681378;0,321847795
68;WT;KO+OX1R;KO+OX1R in locus coeruleus;43,28;55,13;4,65;8,06;7;8;12,3027436;22,79712263;WAHR;0.043;18,70028095;0,633680319;27,37985213;the KO-OX1R group showed an increase of freezing time in the test period;increase of freezing;36;42;0,739036309;0,563875724;0,3909118;21,49464901;49,6;0,377021793;;;;;;;;;0,71;11,85;0,661856699;0,322025945;0,422718315;0,067276248;0,161858992;0,339585243
69;WT;WT+OX1R;control+OX1R in locus coeruleus;43,28;43,06;4,65;8,06;7;7;12,3027436;21,32475557;FALSCH;NS;17,40837011;-0,012637599;-0,50831793;KO-OX1R group showed an increase of freezing time in the test period to a level comparable to that in wild-type mice;comparable;36;42;0,564880997;0,409806429;0,279364108;0,50831793;43,17;0,403251566;;;;;;;;;0;-0,22;0,695978679;0,343778891;0,450563337;0,066187007;0,154681378;0,321847795
70;WT;KO+ChR2;(virus control) KO+ChR2 in locus coeruleus;59,53;40,62;5,89;10,23;7;7;15,58347522;27,06603591;FALSCH;NS;22,08410062;-0,856272136;-31,76549639;we did not find any difference between the KO-OX1R and KO-ChR2 groups during both the conditioning and test periods;no differences;37;43;0,63389939;0,467206665;0,319366128;31,76549639;50,075;0,441020482;;;;;;;;;0,14;-18,91;0,495778169;0,232661358;0,304286095;0,066187007;0,154681378;0,321847795
